configname,computername,username,job_starting_time,testname,itteration,elapsedtime
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_01_SiteInfo_210,1,2.260
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_01_SiteInfo_210,2,1.387
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_01_SiteInfo_210,3,1.405
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_01_SiteInfo_210,4,1.385
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_01_SiteInfo_210,5,1.385
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_02_Latestdata_210,1,32.825
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_02_Latestdata_210,2,23.950
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_02_Latestdata_210,3,23.935
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_02_Latestdata_210,4,23.970
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_02_Latestdata_210,5,23.925
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_03_SiteInfo_all,1,64.435
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_03_SiteInfo_all,2,64.030
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_03_SiteInfo_all,3,63.970
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_03_SiteInfo_all,4,64.130
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_03_SiteInfo_all,5,64.350
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_04_Latestdata_all,1,514.947
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_04_Latestdata_all,2,417.653
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_04_Latestdata_all,3,417.460
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_04_Latestdata_all,4,419.025
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_14_53_09,hyxmlout_04_Latestdata_all,5,417.850
