configname,computername,username,job_starting_time,testname,itteration,elapsedtime
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_35_07,telview_01,1,5.377
lfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_35_07,telview_01,2,4.722
lfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_35_20,telview_01,1,7.590
lfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_35_20,telview_01,2,7.469
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_35_37,telview_01,1,5.746
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_35_37,telview_01,2,5.246
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_35_50,telview_01,1,7.996
lsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_11,telview_01,1,5.417
lsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_11,telview_01,2,6.351
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_24,telview_01,1,7.601
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_24,telview_01,2,7.882
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_42,telview_01,1,6.643
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_42,telview_01,2,6.811
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_57,telview_01,1,8.914
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_36_57,telview_01,2,9.154
lfp-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_37_18,telview_01,1,4.551
lfp-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_37_18,telview_01,2,4.437
lfp-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_37_29,telview_01,1,7.418
lfp-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_37_29,telview_01,2,6.827
mfp-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_37_46,telview_01,1,5.578
mfp-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_37_46,telview_01,2,5.325
mfp-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_00,telview_01,1,7.990
mfp-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_00,telview_01,2,7.583
lsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_18,telview_01,1,5.345
lsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_18,telview_01,2,5.108
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_31,telview_01,1,8.287
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_31,telview_01,2,7.670
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_50,telview_01,1,6.544
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_38_50,telview_01,2,7.019
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_39_06,telview_01,1,9.263
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_17_10_39_06,telview_01,2,8.875
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_52_17,telview_01,1,9.488
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_52_17,telview_01,2,8.626
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_52_17,telview_01,3,7.987
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_52_17,telview_01,4,8.034
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_17_10_52_17,telview_01,5,7.825
